code,long_name,short_name,line_code1,line_code2,line_code3,other_station_code
"F05","Navy Yard-Ballpark","NavyYard","GR","NA","NA","NA"
"F04","Waterfront","Waterfront","GR","NA","NA","NA"
"F07","Congress Heights","CongressHeights","GR","NA","NA","NA"
"F06","Anacostia","Anacostia","GR","NA","NA","NA"
"F01","Gallery Pl-Chinatown","GalleryPlace","GR","YL","NA","B01"
"F03","L'Enfant Plaza","LEnfantPlaza","GR","YL","NA","D03"
"F02","Archives-Navy Memorial-Penn Quarter","Archives","GR","YL","NA","NA"
"F09","Naylor Road","NaylorRoad","GR","NA","NA","NA"
"F08","Southern Avenue","SouthernAve","GR","NA","NA","NA"
"B35","NoMa-Gallaudet","NoMa","RD","NA","NA","NA"
"N04","Spring Hill","Spring Hill","SV","NA","NA","NA"
"N06","Wiehle-Reston East","Wiehle-Reston East","SV","NA","NA","NA"
"N01","McLean","McLean","SV","NA","NA","NA"
"N03","Greensboro","Greensboro","SV","NA","NA","NA"
"N02","Tysons Corner","Tysons Corner","SV","NA","NA","NA"
"D07","Potomac Ave","PotomacAve","BL","OR","SV","NA"
"D06","Eastern Market","EasternMarket","BL","OR","SV","NA"
"D05","Capitol South","CapitolSouth","BL","OR","SV","NA"
"D04","Federal Center SW","FederalCenterSW","BL","OR","SV","NA"
"D03","L'Enfant Plaza","LEnfantPlaza","BL","OR","SV","F03"
"D02","Smithsonian","Smithsonian","BL","OR","SV","NA"
"D01","Federal Triangle","FederalTriangle","BL","OR","SV","NA"
"D09","Minnesota Ave","MinnesotaAve","OR","NA","NA","NA"
"D08","Stadium-Armory","StadiumArmory","BL","OR","SV","NA"
"B01","Gallery Pl-Chinatown","GalleryPlace","RD","NA","NA","F01"
"B03","Union Station","UnionStation","RD","NA","NA","NA"
"B02","Judiciary Square","JudiciarySquare","RD","NA","NA","NA"
"B05","Brookland-CUA","Brookland","RD","NA","NA","NA"
"B04","Rhode Island Ave-Brentwood","RhodeIslandAve","RD","NA","NA","NA"
"B07","Takoma","Takoma","RD","NA","NA","NA"
"B06","Fort Totten","FortTotten","RD","NA","NA","E06"
"B09","Forest Glen","ForestGlen","RD","NA","NA","NA"
"B08","Silver Spring","SilverSpring","RD","NA","NA","NA"
"F10","Suitland","Suitland","GR","NA","NA","NA"
"F11","Branch Ave","BranchAve","GR","NA","NA","NA"
"J03","Franconia-Springfield","FranconiaSpringfield","BL","NA","NA","NA"
"J02","Van Dorn Street","VanDornSt","BL","NA","NA","NA"
"D10","Deanwood","Deanwood","OR","NA","NA","NA"
"D11","Cheverly","Cheverly","OR","NA","NA","NA"
"D12","Landover","Landover","OR","NA","NA","NA"
"D13","New Carrollton","NewCarrollton","OR","NA","NA","NA"
"B10","Wheaton","Wheaton","RD","NA","NA","NA"
